MatNo,Plant,origin,horizon,month_index,actual,xgb_pred,wma_pred
MAT0007,Delhi Plant,12,5,16,13,12.42105770111084,12.399305555555555
MAT0007,Pune Plant,12,5,16,15,12.844380378723145,12.80324074074074
MAT0008,Delhi Plant,12,5,16,165,302.3375549316406,277.6400462962963
MAT0009,Bengaluru Plant,12,5,16,326,484.73822021484375,297.5821759259259
MAT0009,Chennai Plant,12,5,16,324,505.267578125,298.12268518518516
MAT0010,Delhi Plant,12,5,16,159,133.09750366210938,137.19212962962962
MAT0010,Pune Plant,12,5,16,158,130.50384521484375,142.40046296296296
MAT0011,Chennai Plant,12,5,16,42,45.037166595458984,44.895833333333336
MAT0012,Coimbatore Plant,12,5,16,24,19.771480560302734,20.40509259259259
MAT0012,Pune Plant,12,5,16,26,19.293231964111328,20.39814814814815
MAT0013,Bengaluru Plant,12,5,16,132,108.14424896240234,123.9525462962963
MAT0013,Delhi Plant,12,5,16,110,113.02508544921875,126.40393518518518
MAT0014,Bengaluru Plant,12,5,16,11,10.603391647338867,10.901620370370372
MAT0014,Chennai Plant,12,5,16,133,132.12013244628906,115.56481481481482
MAT0014,Coimbatore Plant,12,5,16,65,55.67938232421875,56.19328703703704
MAT0014,Delhi Plant,12,5,16,28,20.33397102355957,22.699074074074076
MAT0014,Pune Plant,12,5,16,36,19.152376174926758,33.394675925925924
MAT0015,Pune Plant,12,5,16,215,214.8092498779297,230.83449074074073
MAT0016,Chennai Plant,12,5,16,71,124.65312194824219,126.91666666666667
MAT0016,Delhi Plant,12,5,16,63,120.30042266845703,122.79398148148148
MAT0017,Bengaluru Plant,12,5,16,211,273.8625793457031,281.0960648148148
MAT0018,Bengaluru Plant,12,5,16,499,456.8441467285156,422.0416666666667
MAT0018,Coimbatore Plant,12,5,16,485,406.4921569824219,484.2094907407407
MAT0001,Chennai Plant,12,6,17,135,132.0027313232422,124.89120370370371
MAT0001,Pune Plant,12,6,17,142,129.50833129882812,126.90335648148148
MAT0002,Chennai Plant,12,6,17,172,134.90016174316406,139.20312500000003
MAT0002,Delhi Plant,12,6,17,170,134.55325317382812,131.19907407407408
MAT0003,Coimbatore Plant,12,6,17,192,262.4384765625,239.3726851851852
MAT0004,Chennai Plant,12,6,17,80,118.46118927001953,69.69849537037037
MAT0004,Delhi Plant,12,6,17,84,108.97211456298828,74.00636574074075
MAT0004,Pune Plant,12,6,17,81,108.29576110839844,77.29456018518518
MAT0005,Bengaluru Plant,12,6,17,841,543.6109619140625,396.47395833333326
MAT0005,Pune Plant,12,6,17,742,525.696044921875,397.6579861111111
MAT0006,Chennai Plant,12,6,17,121,135.7344970703125,108.07581018518518
MAT0006,Coimbatore Plant,12,6,17,110,140.3908233642578,112.61574074074075
MAT0007,Bengaluru Plant,12,6,17,15,12.528359413146973,12.402777777777777
MAT0007,Chennai Plant,12,6,17,12,15.549028396606445,12.298611111111114
MAT0007,Delhi Plant,12,6,17,14,13.178475379943848,12.398726851851853
MAT0007,Pune Plant,12,6,17,13,13.206252098083496,12.799768518518519
MAT0008,Delhi Plant,12,6,17,499,222.28659057617188,277.40798611111114
MAT0009,Bengaluru Plant,12,6,17,301,534.1904296875,297.59201388888886
MAT0009,Chennai Plant,12,6,17,293,536.6746215820312,298.12615740740733
MAT0010,Delhi Plant,12,6,17,138,141.94287109375,137.17939814814812
MAT0010,Pune Plant,12,6,17,157,140.041259765625,142.39467592592592
MAT0011,Chennai Plant,12,6,17,47,47.029537200927734,44.901620370370374
MAT0012,Coimbatore Plant,12,6,17,25,19.84687614440918,20.396990740740737
MAT0012,Pune Plant,12,6,17,23,19.51148223876953,20.40277777777778
MAT0013,Bengaluru Plant,12,6,17,132,116.62248229980469,123.88831018518518
MAT0013,Delhi Plant,12,6,17,120,119.06167602539062,126.38252314814815
MAT0014,Bengaluru Plant,12,6,17,11,12.77694320678711,10.89988425925926
MAT0014,Chennai Plant,12,6,17,118,136.33584594726562,115.59722222222223
MAT0014,Coimbatore Plant,12,6,17,71,58.7187614440918,56.21238425925926
MAT0014,Delhi Plant,12,6,17,28,24.05550193786621,22.70138888888889
MAT0014,Pune Plant,12,6,17,36,23.367034912109375,33.39641203703704
MAT0015,Pune Plant,12,6,17,225,228.43746948242188,230.80150462962965
MAT0016,Chennai Plant,12,6,17,67,121.78996276855469,126.88425925925925
MAT0016,Delhi Plant,12,6,17,71,119.80216979980469,122.7951388888889
MAT0017,Bengaluru Plant,12,6,17,188,261.18988037109375,281.0896990740741
MAT0018,Bengaluru Plant,12,6,17,527,445.1328125,421.96527777777777
MAT0018,Coimbatore Plant,12,6,17,465,406.0620422363281,484.1927083333333
MAT0001,Chennai Plant,12,7,18,139,132.4160919189453,124.90547839506172
MAT0001,Pune Plant,12,7,18,136,133.28189086914062,126.89998070987654
MAT0002,Chennai Plant,12,7,18,173,133.79135131835938,139.19646990740742
MAT0002,Delhi Plant,12,7,18,157,131.87274169921875,131.1983024691358
MAT0003,Coimbatore Plant,12,7,18,224,244.09933471679688,239.4178240740741
MAT0004,Chennai Plant,12,7,18,84,123.72232055664062,69.70341435185185
MAT0004,Delhi Plant,12,7,18,78,115.91609191894531,73.99623842592594
MAT0004,Pune Plant,12,7,18,80,115.88489532470703,77.30237268518518
MAT0005,Bengaluru Plant,12,7,18,373,399.6689147949219,396.50163966049377
MAT0005,Pune Plant,12,7,18,406,393.0445251464844,397.56741898148147
MAT0006,Chennai Plant,12,7,18,235,164.03526306152344,108.11120756172839
MAT0006,Coimbatore Plant,12,7,18,207,158.4547882080078,112.59182098765433
MAT0007,Bengaluru Plant,12,7,18,13,12.13991928100586,12.39891975308642
MAT0007,Chennai Plant,12,7,18,15,13.533296585083008,12.300540123456793
MAT0007,Delhi Plant,12,7,18,14,11.857271194458008,12.400752314814815
MAT0007,Pune Plant,12,7,18,15,12.045161247253418,12.79957561728395
MAT0008,Delhi Plant,12,7,18,452,340.391357421875,277.3559992283951
MAT0009,Bengaluru Plant,12,7,18,645,473.00225830078125,297.60696373456784
MAT0009,Chennai Plant,12,7,18,649,439.3227844238281,298.0831404320987
MAT0010,Delhi Plant,12,7,18,157,134.10678100585938,137.21161265432096
MAT0010,Pune Plant,12,7,18,147,136.99575805664062,142.40258487654322
MAT0011,Chennai Plant,12,7,18,47,45.97218704223633,44.89988425925927
MAT0012,Coimbatore Plant,12,7,18,24,19.06048583984375,20.400655864197528
MAT0012,Pune Plant,12,7,18,24,18.511812210083008,20.39891975308642
MAT0013,Bengaluru Plant,12,7,18,102,114.35391235351562,123.89708719135803
MAT0013,Delhi Plant,12,7,18,108,122.17052459716797,126.4080825617284
MAT0014,Bengaluru Plant,12,7,18,13,11.320948600769043,10.899787808641975
MAT0014,Chennai Plant,12,7,18,151,130.06602478027344,115.60725308641975
MAT0014,Coimbatore Plant,12,7,18,61,57.17129898071289,56.19492669753087
MAT0014,Delhi Plant,12,7,18,26,20.41505241394043,22.699459876543212
MAT0014,Pune Plant,12,7,18,39,20.39438819885254,33.402681327160494
MAT0015,Pune Plant,12,7,18,218,209.88742065429688,230.79349922839506
MAT0016,Chennai Plant,12,7,18,68,122.59102630615234,126.9050925925926
MAT0016,Delhi Plant,12,7,18,73,124.7916488647461,122.80343364197533
MAT0017,Bengaluru Plant,12,7,18,192,280.00897216796875,281.10580632716045
MAT0018,Bengaluru Plant,12,7,18,507,414.5952453613281,422.0104166666667
MAT0018,Coimbatore Plant,12,7,18,463,500.11285400390625,484.2020640432099
MAT0001,Chennai Plant,12,8,19,133,128.77513122558594,124.89872685185185
MAT0001,Pune Plant,12,8,19,133,128.50192260742188,126.89945023148148
MAT0002,Chennai Plant,12,8,19,153,129.87350463867188,139.201244212963
MAT0002,Delhi Plant,12,8,19,156,128.3062286376953,131.20100308641975
MAT0003,Coimbatore Plant,12,8,19,192,244.96705627441406,239.39564043209882
MAT0004,Chennai Plant,12,8,19,78,118.47538757324219,69.698543595679
MAT0004,Delhi Plant,12,8,19,72,114.0465087890625,74.00081983024693
MAT0004,Pune Plant,12,8,19,84,114.72308349609375,77.29972029320987
MAT0005,Bengaluru Plant,12,8,19,402,379.80291748046875,396.5035204475308
MAT0005,Pune Plant,12,8,19,399,407.0994567871094,397.6066261574074
MAT0006,Chennai Plant,12,8,19,208,168.6584014892578,108.09842785493828
MAT0006,Coimbatore Plant,12,8,19,226,144.55184936523438,112.60146604938272
MAT0007,Bengaluru Plant,12,8,19,12,12.192497253417969,12.400077160493828
MAT0007,Chennai Plant,12,8,19,14,12.91855525970459,12.299961419753089
MAT0007,Delhi Plant,12,8,19,12,12.635112762451172,12.399836033950619
MAT0007,Pune Plant,12,8,19,14,12.603644371032715,12.800250771604937
MAT0008,Delhi Plant,12,8,19,203,237.9571533203125,277.420669367284
MAT0009,Bengaluru Plant,12,8,19,618,419.12750244140625,297.5978491512345
MAT0009,Chennai Plant,12,8,19,625,397.41790771484375,298.1040702160493
MAT0010,Delhi Plant,12,8,19,163,138.52830505371094,137.19762731481478
MAT0010,Pune Plant,12,8,19,154,140.03575134277344,142.39959490740742
MAT0011,Chennai Plant,12,8,19,44,45.58141326904297,44.899787808641975
MAT0012,Coimbatore Plant,12,8,19,23,19.500001907348633,20.400173611111107
MAT0012,Pune Plant,12,8,19,26,19.07317352294922,20.40007716049383
MAT0013,Bengaluru Plant,12,8,19,93,118.58136749267578,123.90340470679011
MAT0013,Delhi Plant,12,8,19,126,120.17410278320312,126.39887152777779
MAT0014,Bengaluru Plant,12,8,19,11,11.395577430725098,10.900125385802468
MAT0014,Chennai Plant,12,8,19,133,130.0416259765625,115.59683641975307
MAT0014,Coimbatore Plant,12,8,19,61,56.77870559692383,56.20047260802469
MAT0014,Delhi Plant,12,8,19,27,22.457040786743164,22.700038580246915
MAT0014,Pune Plant,12,8,19,39,19.893152236938477,33.39925733024691
MAT0015,Pune Plant,12,8,19,223,224.26962280273438,230.80299961419755
MAT0016,Chennai Plant,12,8,19,73,118.31722259521484,126.90007716049382
MAT0016,Delhi Plant,12,8,19,63,128.8033905029297,122.79909336419756
MAT0017,Bengaluru Plant,12,8,19,211,263.6873474121094,281.0988136574074
MAT0018,Bengaluru Plant,12,8,19,534,424.4026184082031,422.0005787037037
MAT0018,Coimbatore Plant,12,8,19,519,540.5369262695312,484.2001832561728
MAT0001,Chennai Plant,12,9,20,136,125.49818420410156,124.89972350823045
MAT0001,Pune Plant,12,9,20,135,126.53785705566406,126.90027809927983
MAT0002,Chennai Plant,12,9,20,157,133.47679138183594,139.19996624228398
MAT0002,Delhi Plant,12,9,20,169,129.46778869628906,131.19978137860082
MAT0003,Coimbatore Plant,12,9,20,202,247.31671142578125,239.3992091049383
MAT0004,Chennai Plant,12,9,20,81,120.43677520751953,69.70015914351852
MAT0004,Delhi Plant,12,9,20,85,115.77184295654297,74.0002170138889
MAT0004,Pune Plant,12,9,20,83,115.67069244384766,77.29974440586419
MAT0005,Bengaluru Plant,12,9,20,377,383.7342224121094,396.4979664994855
MAT0005,Pune Plant,12,9,20,418,398.82073974609375,397.60211709104937
MAT0006,Chennai Plant,12,9,20,231,191.544189453125,108.09891814557614
MAT0006,Coimbatore Plant,12,9,20,229,153.67015075683594,112.60063014403293
MAT0007,Bengaluru Plant,12,9,20,12,13.137678146362305,12.40014146090535
MAT0007,Chennai Plant,12,9,20,13,13.432316780090332,12.299929269547327
MAT0007,Delhi Plant,12,9,20,14,13.003331184387207,12.399956597222223
MAT0007,Pune Plant,12,9,20,14,12.757537841796875,12.799945344650205
MAT0008,Delhi Plant,12,9,20,337,441.37017822265625,277.39699877829224
MAT0009,Bengaluru Plant,12,9,20,604,377.5325927734375,297.59991480195464
MAT0009,Chennai Plant,12,9,20,552,373.0284118652344,298.10077481995876
MAT0010,Delhi Plant,12,9,20,151,133.3820037841797,137.19925090020573
MAT0010,Pune Plant,12,9,20,138,132.79945373535156,142.3997717335391
MAT0011,Chennai Plant,12,9,20,47,45.09879684448242,44.900125385802475
MAT0012,Coimbatore Plant,12,9,20,24,20.86536407470703,20.399803883744852
MAT0012,Pune Plant,12,9,20,25,20.239097595214844,20.40014146090535
MAT0013,Bengaluru Plant,12,9,20,92,121.22923278808594,123.89878311471193
MAT0013,Delhi Plant,12,9,20,108,124.02312469482422,126.39921714248972
MAT0014,Bengaluru Plant,12,9,20,12,13.78520393371582,10.8999726723251
MAT0014,Chennai Plant,12,9,20,146,126.37024688720703,115.60037294238681
MAT0014,Coimbatore Plant,12,9,20,54,57.482444763183594,56.200609246399175
MAT0014,Delhi Plant,12,9,20,26,21.870956420898438,22.700070730452676
MAT0014,Pune Plant,12,9,20,40,22.489940643310547,33.39992444701646
MAT0015,Pune Plant,12,9,20,226,225.80780029296875,230.7995836548354
MAT0016,Chennai Plant,12,9,20,73,115.60226440429688,126.89911265432097
MAT0016,Delhi Plant,12,9,20,73,125.52853393554688,122.7998810442387
MAT0017,Bengaluru Plant,12,9,20,217,261.4555969238281,281.09962545010285
MAT0018,Bengaluru Plant,12,9,20,534,432.5256042480469,421.997974537037
MAT0018,Coimbatore Plant,12,9,20,533,554.333740234375,484.19956436471193
MAT0001,Chennai Plant,12,10,21,122,130.2272491455078,124.9003504372428
MAT0001,Pune Plant,12,10,21,141,128.48587036132812,126.8999525784465
MAT0002,Chennai Plant,12,10,21,164,133.4582061767578,139.1998095100309
MAT0002,Delhi Plant,12,10,21,151,132.82888793945312,131.19994212962962
MAT0003,Coimbatore Plant,12,10,21,206,254.82374572753906,239.4011220421811
MAT0004,Chennai Plant,12,10,21,75,117.11565399169922,69.70016316229423
MAT0004,Delhi Plant,12,10,21,82,108.17684173583984,73.99975485468109
MAT0004,Pune Plant,12,10,21,74,110.8041763305664,77.30017441486625
MAT0005,Bengaluru Plant,12,10,21,413,397.8944091796875,396.50043000900195
MAT0005,Pune Plant,12,10,21,408,412.3228759765625,397.5978370949074
MAT0006,Chennai Plant,12,10,21,124,168.71470642089844,108.1008029513889
MAT0006,Coimbatore Plant,12,10,21,105,126.08143615722656,112.59944058641976
MAT0007,Bengaluru Plant,12,10,21,12,11.140032768249512,12.399916409465021
MAT0007,Chennai Plant,12,10,21,13,14.353025436401367,12.300041795267491
MAT0007,Delhi Plant,12,10,21,14,11.490245819091797,12.400049029063787
MAT0007,Pune Plant,12,10,21,12,14.751947402954102,12.799985532407405
MAT0008,Delhi Plant,12,10,21,173,217.1690216064453,277.3980557163066
MAT0009,Bengaluru Plant,12,10,21,286,319.9337158203125,297.60040107381684
MAT0009,Chennai Plant,12,10,21,288,324.3009948730469,298.0989342206789
MAT0010,Delhi Plant,12,10,21,159,143.78306579589844,137.20076999742795
MAT0010,Pune Plant,12,10,21,152,142.80653381347656,142.40018164866257
MAT0011,Chennai Plant,12,10,21,45,48.331546783447266,44.899972672325106
MAT0012,Coimbatore Plant,12,10,21,24,20.98660659790039,20.400069122942384
MAT0012,Pune Plant,12,10,21,26,21.17061996459961,20.39991640946502
MAT0013,Bengaluru Plant,12,10,21,115,117.0229721069336,123.90004099151234
MAT0013,Delhi Plant,12,10,21,127,119.67158508300781,126.40057950745886
MAT0014,Bengaluru Plant,12,10,21,14,14.543663024902344,10.899992766203702
MAT0014,Chennai Plant,12,10,21,150,131.8904571533203,115.60034079218104
MAT0014,Coimbatore Plant,12,10,21,67,65.56524658203125,56.1996166087963
MAT0014,Delhi Plant,12,10,21,23,23.705171585083008,22.69995820473251
MAT0014,Pune Plant,12,10,21,38,23.36988639831543,33.40016155478395
MAT0015,Pune Plant,12,10,21,220,212.1333770751953,230.7997082368827
MAT0016,Chennai Plant,12,10,21,140,128.15402221679688,126.9004308127572
